1	1	Sắc Thanh Hương Vị Xúc
1	2	Đoạn Trừ Triền Cái
1	3	Không Dùng Được Việc
1	4	Chưa Điều Phục
1	5	Quyết Chí Trong Sáng
1	6	Khoảnh Khắc Búng Ngón Tay
1	7	Phát Khởi Tinh Tấn
1	8	Bạn Tốt
1	9	Phóng Dật
1	10	Phóng Dật (2)
1	11	Phi Pháp
1	12	Không Phạm Tội
1	13	Một Người
1	14	Hạng Nhất
1	17	Pháp Gây Lòng Tin
1	18	Khoảnh Khắc Búng Ngón Tay (2)
1	19	Niệm Thân
1	20	Bất Tử
2	1	Hình Phạt
2	2	Vụ Tranh Tụng
2	3	Kẻ Ngu
2	4	Tâm Bình Đẳng
2	5	Hội Chúng
2	6	Hạng Người
2	7	An Lạc
2	8	Có Tướng
2	9	Pháp
2	10	Kẻ Ngu
2	11	Khát Vọng Khó Từ Bỏ
2	12	Ước Nguyện
2	13	Bố Thí
2	14	Tiếp Đón
2	15	Chứng Đạt
3	1	Kẻ Ngu
3	2	Thợ Đóng Xe
3	3	Con Người
3	4	Thiên Sứ
3	5	Tiểu
3	6	Bà-la-môn
3	7	Đại
3	8	A-nan
3	9	Sa-môn
3	10	Cục Muối
3	11	Chánh Giác
3	12	Khổ Cảnh
3	13	Câu-thi-na
3	14	Chiến Sĩ
3	15	Cát Tường
4	1	Làng Bhan-đa
4	2	Hành
4	3	Ưu-lâu-tần-la
4	4	Bánh Xe
4	5	Lô-hi-đa-sa
4	6	Dòng Phước
4	7	Nghiệp Xứng Đáng
4	8	Chắc Chắn
4	9	Bất Động
4	10	A-tu-la
4	11	Mây
4	12	Cê-si
4	13	Sợ Hãi
4	14	Con Người
4	15	Ánh Sáng
4	16	Căn
4	17	Đạo Lộ
4	18	Tư
4	19	Bà-la-môn
4	20	Đại Phẩm
4	21	Bậc Chân Nhân
4	22	Hội Chúng
4	23	Ác Hạnh
4	24	Nghiệp
4	25	Sợ Tội
4	26	Thắng Tri
4	27	Con Đường Nghiệp
5	1	Sức Mạnh Của Bậc Hữu Học
5	2	Sức Mạnh
5	3	Năm Chi
5	4	Tô-ma-na
5	5	Vua Mun-đa
5	6	Triền Cái
5	7	Tưởng
5	8	Chiến Sĩ
5	9	Trưởng Lão
5	10	Ca-cu-đa
5	11	An Trú
5	12	An-đa-ca-bin-đa
5	13	Bệnh
5	14	Vua
5	15	Ti-can-đa-ki
5	16	Chánh Pháp
5	17	Sân Hận
5	18	Cư Sĩ
5	19	Rừng
5	20	Bà-la-môn
5	21	Ci-mi-la
5	22	Mắng Nhiếc
5	23	Du Hành Dài
5	24	Trú Xứ
5	25	Ác Hạnh
5	26	Cụ Túc
6	1	Đáng Cúng Dường
6	2	Đáng Nhớ
6	3	Vô Thượng
6	4	Thiên
6	5	Đam-mi-ca
6	6	Đại Phẩm
6	7	Thiên
6	8	A-la-hán
6	9	Thanh Lương
6	10	Lợi Ích
6	11	Bộ Ba
6	12	Sa-môn
7	1	Tài Sản
7	2	Tùy Miên
7	3	Bảy Pháp Của Bạt-kỳ
7	4	Chư Thiên
7	5	Đại Tế Đàn
7	6	Không Ký Thuyết
7	7	Lớn
7	8	Luật
7	9	Sa-Môn
7	10	Xứng Đáng Cúng Dường
8	1	Từ
8	2	Đại Phẩm
8	3	Gia Chủ
8	4	Bố Thí
8	5	Ngày Bố-Tát
8	6	Cù-đàm-di
8	7	Động Đất
8	8	Song Đôi
8	9	Niệm
9	1	Chánh Giác
9	2	Sư Tử Hống
9	3	Cõi Chúng Sinh
9	4	Đại Phẩm
9	5	Sa-môn
9	6	An Ổn
9	7	Niệm Xứ
9	8	Chánh Cần
9	9	Thần Túc
10	1	Lợi Ích
10	2	Chỗ Nương
10	3	Đại
10	4	Ưu-ba-ly
10	5	Mắng Nhiếc
10	6	Tự Tâm
10	7	Song Đôi
10	8	Ước Nguyện
10	9	Trưởng Lão
10	10	Ưu-ba-ly
10	11	Tưởng Sa-môn
10	12	Lễ Xuống
10	13	Thanh Tịnh
10	14	Lành
10	15	Thánh
10	16	Hạng Người
10	17	Sanh Lậu
10	18	Lành (2)
10	19	Thánh Đạo
10	20	Thân Do Nghiệp Sanh
10	21	Tương Tự
11	1	Nương Tựa
11	2	Tùy Niệm
11	3	Sa-môn Hạnh
