1	KINH PHẠM VÕNG	Brahmajālasuttaṃ
2	KINH SA-MÔN QUẢ	Sāmaññaphalasuttaṃ
3	KINH AMBAṬṬHA	Ambaṭṭhasuttaṃ
4	KINH SOṆADAṆḌA	Soṇadaṇḍasuttaṃ
5	KINH KŪṬADANTA	Kūṭadantasuttaṃ
6	KINH MAHĀLI	Mahālisuttaṃ
7	KINH JĀLIYA	Jāliyasuttaṃ
8	KINH ĐẠI SƯ TỬ HỐNG (VỚI KASSAPA LÕA THỂ)	Mahāsīhanādasuttaṃ
9	KINH POṬṬHAPĀDA	Poṭṭhapādasuttaṃ
10	KINH SUBHA	Subhasuttaṃ
11	KINH KEVAṬṬA	Kevaṭṭasuttaṃ
12	KINH LOHICCA	Lohiccasuttaṃ
13	KINH TAM MINH	Tevijjasuttaṃ
14	KINH ĐẠI BẢN DUYÊN	Mahāpadānasuttaṃ
15	KINH ĐẠI DUYÊN	Mahānidānasuttaṃ
16	KINH ĐẠI BÁT NIẾT-BÀN	Mahāparinibbānasuttaṃ
17	KINH ĐẠI THIỆN KIẾN VƯƠNG	Mahāsudassanasuttaṃ
18	KINH XA-NI-SA	Janavasabhasuttaṃ
19	KINH ĐẠI ĐIỂN TÔN	Mahāgovindasuttaṃ
20	KINH ĐẠI HỘI	Mahāsamayasuttaṃ
21	KINH ĐẾ-THÍCH SỞ VẤN	Sakkapañhasuttaṃ
22	KINH ĐẠI NIỆM XỨ	Mahāsatipaṭṭhānasuttaṃ
23	KINH TỆ TÚC	Pāyāsisuttaṃ
24	KINH BA-LÊ	Pāthikasuttaṃ
25	KINH ƯU-ĐÀM-BÀ-LA SƯ TỬ HỐNG	Udumbarikasuttaṃ
26	KINH CHUYỂN LUÂN THÁNH VƯƠNG SƯ TỬ HỐNG	Cakkavattisuttaṃ
27	KINH KHỞI THẾ NHÂN BỔN	Aggaññasuttaṃ
28	KINH TỰ HOAN HỶ	Sampasādanīyasuttaṃ
29	KINH THANH TỊNH	Pāsādikasuttaṃ
30	KINH TƯỚNG	Lakkhaṇasuttaṃ
31	KINH GIÁO THỌ THI-CA-LA-VIỆT	Siṅgālasuttaṃ
32	KINH A-SÁ-NANG-CHI	Āṭānāṭiyasuttaṃ
33	KINH PHÚNG TỤNG	Saṅgītisuttaṃ
34	KINH THẬP THƯỢNG	Dasuttarasuttaṃ
