1	KINH CĂN BẢN PHÁP MÔN	Mūlapariyāyasuttaṃ
2	KINH TẤT CẢ LẬU HOẶC	Sabbāsavasuttaṃ
3	KINH THỪA TỰ PHÁP	Dhammadāyādasuttaṃ
4	KINH SỢ HÃI VÀ KHIẾP ĐẢM	Bhayabheravasuttaṃ
5	KINH KHÔNG UẾ NHIỄM	Anaṅgaṇasuttaṃ
6	KINH ƯỚC NGUYỆN	Ākaṅkheyyasuttaṃ
7	KINH VÍ DỤ TẤM VẢI	Vatthasuttaṃ
8	KINH ĐOẠN GIẢM	Sallekhasuttaṃ
9	KINH CHÁNH TRI KIẾN	Sammādiṭṭhisuttaṃ
10	ĐẠI KINH NIỆM XỨ	Mahāsatipaṭṭhānasuttaṃ
11	TIỂU KINH SƯ TỬ HỐNG	Cūḷasīhanādasuttaṃ
12	ĐẠI KINH SƯ TỬ HỐNG	Mahāsīhanādasuttaṃ
13	ĐẠI KINH KHỔ UẨN	Mahādukkhakkhandhasuttaṃ
14	TIỂU KINH KHỔ UẨN	Cūḷadukkhakkhandhasuttaṃ
15	KINH SUY ĐOÁN	Anumānasuttaṃ
16	KINH TÂM HOANG VU	Cetokhilasuttaṃ
17	KINH TRUÔNG RỪNG	Vanapatthasuttaṃ
18	KINH MẬT HOÀN	Madhupiṇḍikasuttaṃ
19	KINH HAI LOẠI TẦM	Dvedhāvitakkasuttaṃ
20	KINH AN TRÚ TẦM	Vitakkasaṇṭhānasuttaṃ
21	KINH VÍ DỤ CÁI CƯA	Kakacūpamasuttaṃ
22	KINH VÍ DỤ CON RẮN	Alagaddūpamasuttaṃ
23	KINH GÒ MỐI	Vammikasuttaṃ
24	KINH BẢY CỖ XE	Rathavinītasuttaṃ
25	KINH MỒI NHỬ	Nivāpasuttaṃ
26	KINH ĐỐNG BẪY	Pāsarāsisuttaṃ
27	TIỂU KINH VÍ DỤ DẤU CHÂN VOI	Cūḷahatthipadopamasuttaṃ
28	ĐẠI KINH VÍ DỤ DẤU CHÂN VOI	Mahāhatthipadopamasuttaṃ
29	ĐẠI KINH VÍ DỤ LÕI CÂY	Mahāsāropamasuttaṃ
30	TIỂU KINH VÍ DỤ LÕI CÂY	Cūḷasāropamasuttaṃ
31	TIỂU KINH RỪNG CÂU-TÂN-NGA	Cūḷagosiṅgasuttaṃ
32	ĐẠI KINH RỪNG CÂU-TÂN-NGA	Mahāgosiṅgasuttaṃ
33	ĐẠI KINH NGƯỜI CHĂN BÒ	Mahāgopālakasuttaṃ
34	TIỂU KINH NGƯỜI CHĂN BÒ	Cūḷagopālakasuttaṃ
35	TIỂU KINH SA-XA-CA	Cūḷasaccakasuttaṃ
36	ĐẠI KINH SA-XA-CA	Mahāsaccakasuttaṃ
37	TIỂU KINH ĐOẠN TẬN ÁI	Cūḷataṇhāsaṅkhayasuttaṃ
38	ĐẠI KINH ĐOẠN TẬN ÁI	Mahātaṇhāsaṅkhayasuttaṃ
39	ĐẠI KINH A-SA-BU-LA	Mahāassapurasuttaṃ
40	TIỂU KINH A-SA-BU-LA	Cūḷaassapurasuttaṃ
41	KINH SA-LÊ-DA-CA	Sāleyyakasuttaṃ
42	KINH BÊ-LANH-XA-CA	Verañjakasuttaṃ
43	ĐẠI KINH PHÂN BIỆT	Mahāvedallasuttaṃ
44	TIỂU KINH PHÂN BIỆT	Cūḷavedallasuttaṃ
45	TIỂU KINH THỌ TRÌ PHÁP	Cūḷadhammasamādānasuttaṃ
46	ĐẠI KINH THỌ TRÌ PHÁP	Mahādhammasamādānasuttaṃ
47	KINH THẨM SÁT	Vīmaṃsakasuttaṃ
48	KINH KIỀU-THƯỞNG-DI	Kosambiyasuttaṃ
49	KINH PHẠM THIÊN THỈNH CẦU	Brahmanimantanikasuttaṃ
50	KINH MẮNG NHIẾC MA VƯƠNG	Māratajjanīyasuttaṃ
51	KINH CAN-ĐA-LA-CA	Kandarakasuttaṃ
52	KINH NGƯỜI DÂN ÁT-THA-CA	Aṭṭhakanāgarasuttaṃ
53	KINH HỮU HỌC	Sekhasuttaṃ
54	KINH BÔ-ĐA-LI-DA	Potaliyasuttaṃ
55	KINH KỲ-BÀ	Jīvakasuttaṃ
56	KINH ƯU-BA-LY	Upālisuttaṃ
57	KINH NGƯỜI SỐNG NHƯ CHÓ	Kukkuravatikasuttaṃ
58	KINH HOÀNG TỬ VÔ ÚY	Abhayarājakumārasuttaṃ
59	KINH NHIỀU CẢM THỌ	Bahuvedanīyasuttaṃ
60	KINH KHÔNG THỂ SAI LẦM	Apaṇṇakasuttaṃ
61	KINH GIÁO HUẤN LA-HẦU-LA TẠI AM-BA-LA-THI-CA	Ambalaṭṭhikarāhulovādasuttaṃ
62	ĐẠI KINH GIÁO HUẤN LA-HẦU-LA	Mahārāhulovādasuttaṃ
63	TIỂU KINH MA-LUÂN-KHÊ	Cūḷamālukyasuttaṃ
64	ĐẠI KINH MA-LUÂN-KHÊ	Mahāmālukyasuttaṃ
65	KINH BA-ĐA-LI	Bhaddālisuttaṃ
66	KINH VÍ DỤ CHIM CÚN CÚT	Laṭukikopamasuttaṃ
67	KINH XA-ĐU-MA	Cātumasuttaṃ
68	KINH NA-LA-CA-BA-NA	Naḷakapānasuttaṃ
69	KINH GÔ-LI-DA-NI	Goliyānisuttaṃ
70	KINH CI-THA-GI-LI	Kīṭāgirisuttaṃ
71	KINH TAM MINH BÁT-XA	Tevijjavacchasuttaṃ
72	KINH LỬA BÁT-XA	Aggivacchasuttaṃ
73	ĐẠI KINH BÁT-XA	Mahāvacchasuttaṃ
74	KINH TRƯỜNG TRẢO	Dīghanakhasuttaṃ
75	KINH MA-GAN-ĐI-DA	Māgaṇḍiyasuttaṃ
76	KINH SAN-ĐA-CA	Sandakasuttaṃ
77	ĐẠI KINH SA-CU-LU-ĐA-DI	Mahāsakuludāyisuttaṃ
78	KINH SA-MA-NA-MUN-ĐI-CA	Samaṇamuṇḍikasuttaṃ
79	TIỂU KINH SA-CU-LU-ĐA-DI	Cūḷasakuludāyisuttaṃ
80	KINH BÊ-KHA-NA-SA	Vekhanasasuttaṃ
81	KINH GHA-THI-CA-LA	Ghaṭikārasuttaṃ
82	KINH LA-THA-BA-LA	Raṭṭhapālasuttaṃ
83	KINH MA-GHA-ĐÊ-BA	Maghadevasuttaṃ
84	KINH MA-ĐU-LA	Madhurasuttaṃ
85	KINH HOÀNG TỬ BỒ-ĐỀ	Bodhirājakumārasuttaṃ
86	KINH ANG-GU-LI-MA-LA	Aṅgulimālasuttaṃ
87	KINH NGƯỜI THƯƠNG YÊU	Piyajātikasuttaṃ
88	KINH BA-HI-ĐI-CA	Bāhitikasuttaṃ
89	KINH PHÁP ĐIỆN	Dhammacetiyasuttaṃ
90	KINH CA-NA-CAT-HA-LA	Kaṇṇakatthalasuttaṃ
91	KINH BA-MA-DU	Brahmāyusuttaṃ
92	KINH SÊ-LA	Selasuttaṃ
93	KINH A-SA-LA-DA-NA	Assalāyanasuttaṃ
94	KINH GHÔ-THA-MU-KHA	Ghoṭamukhasuttaṃ
95	KINH THƯỜNG-GIÀ	Caṅkīsuttaṃ
96	KINH Ê-SU-CA-LI	Esukārīsuttaṃ
97	KINH ĐA-NANH-XA-NI	Dhanañjānisuttaṃ
98	KINH BÀ-TẤT-SÁ	Vāseṭṭhasuttaṃ
99	KINH TU-BÀ	Subhasuttaṃ
100	KINH SANG-GA-LA-BA	Saṅgāravasuttaṃ
101	KINH ĐỀ-BÀ-ĐA-HA	Devadahasuttaṃ
102	KINH NĂM VÀ BA	Pañcattayasuttaṃ
103	KINH "CÁC THẦY NGHĨ GÌ VỀ TA"	Kintisuttaṃ
104	KINH SA-MA-GIÀ-MA	Sāmagāmasuttaṃ
105	KINH TÔ-NẶC-XÁT-ĐA	Sunakkhattasuttaṃ
106	KINH ĐƯA ĐẾN BẤT ĐỘNG	Āneñjasappāyasuttaṃ
107	KINH GA-NA-CA MỤC-KIỀN-LIÊN	Gaṇakamoggallānasuttaṃ
108	KINH GÔ-BA-CA MỤC-KIỀN-LIÊN	Gopakamoggallānasuttaṃ
109	ĐẠI KINH RẰM TRÒN	Mahāpuṇṇamasuttaṃ
110	TIỂU KINH RẰM TRÒN	Cūḷapuṇṇamasuttaṃ
111	KINH TÙY QUÁN	Anupadasuttaṃ
112	KINH SÁU THANH TỊNH	Chabbisodhanasuttaṃ
113	KINH CHÂN NHÂN	Sappurisasuttaṃ
114	KINH NÊN VÀ KHÔNG NÊN THÂN CẬN	Sevitabbāsevitabbasuttaṃ
115	KINH NHIỀU GIỚI	Bahudhātukasuttaṃ
116	KINH THÔN TIÊN	Isigilisuttaṃ
117	ĐẠI KINH BỐN MƯƠI	Mahācattārīsakasuttaṃ
118	KINH NIỆM HƠI THỞ	Ānāpānassatisuttaṃ
119	KINH NIỆM THÂN	Kāyagatāsatisuttaṃ
120	KINH HÀNH SINH	Saṅkhārupapattisuttaṃ
121	TIỂU KINH KHÔNG	Cūḷasuññatasuttaṃ
122	ĐẠI KINH KHÔNG	Mahāsuññatasuttaṃ
123	KINH VI DIỆU HY HỮU	Acchariyaabbhutasuttaṃ
124	KINH BẠC-CÂU-LA	Bākulasuttaṃ
125	KINH ĐẤT ĐƯỢC HUẤN LUYỆN	Dantabhūmisuttaṃ
126	KINH PHÙ-DI	Bhūmijasuttaṃ
127	KINH A-NA-LUẬT-ĐÀ	Anuruddhasuttaṃ
128	KINH CÁC UẾ NHIỄM	Upakkilesasuttaṃ
129	KINH KẺ NGU VÀ NGƯỜI TRÍ	Bālapaṇḍitasuttaṃ
130	KINH SỨ GIẢ CỦA TRỜI	Devadūtasuttaṃ
131	KINH NHẤT DẠ HIỀN GIẢ	Bhaddekarattasuttaṃ
132	KINH A-NAN NHẤT DẠ HIỀN GIẢ	Ānandabhaddekarattasuttaṃ
133	ĐẠI KINH ĐẠI CA-CHIÊN-DIÊN NHẤT DẠ HIỀN GIẢ	Mahākaccānabhaddekarattasuttaṃ
134	KINH LÔ-MA-SA-KANGIYA NHẤT DẠ HIỀN GIẢ	Lomasakaṅgiyabhaddekarattasuttaṃ
135	TIỂU KINH PHÂN BIỆT NGHIỆP	Cūḷakammavibhaṅgasuttaṃ
136	ĐẠI KINH PHÂN BIỆT NGHIỆP	Mahākammavibhaṅgasuttaṃ
137	KINH PHÂN BIỆT SÁU XỨ	Saḷāyatanavibhaṅgasuttaṃ
138	KINH PHÂN BIỆT TÓM TẮT	Uddesavibhaṅgasuttaṃ
139	KINH PHÂN BIỆT VÔ TRANH	Araṇavibhaṅgasuttaṃ
140	KINH PHÂN BIỆT GIỚI	Dhātuvibhaṅgasuttaṃ
141	KINH PHÂN BIỆT SỰ THẬT	Saccavibhaṅgasuttaṃ
142	KINH PHÂN BIỆT SỰ CÚNG DƯỜNG	Dakkhiṇāvibhaṅgasuttaṃ
143	KINH GIÁO HUẤN CẤP CÔ ĐỘC	Anāthapiṇḍikovādasuttaṃ
144	KINH GIÁO HUẤN XÁN-NẶC	Channovādasuttaṃ
145	KINH GIÁO HUẤN PHÚ-LÂU-NA	Puṇṇovādasuttaṃ
146	KINH GIÁO HUẤN NAN-ĐA-CA	Nandakovādasuttaṃ
147	TIỂU KINH GIÁO HUẤN LA-HẦU-LA	Cūḷarāhulovādasuttaṃ
148	KINH SÁU SÁU	Chachakkasuttaṃ
149	ĐẠI KINH SÁU XỨ	Mahāsaḷāyatanikasuttaṃ
150	KINH NA-GA-LA-BIN-ĐÊ-DA	Nagaravindeyyasuttaṃ
151	KINH THANH TỊNH KHẤT THỰC	Piṇḍapātapārisuddhisuttaṃ
152	KINH TU TẬP CÁC CĂN	Indriyabhāvanāsuttaṃ
