1	Chư Thiên	Devatāsaṃyuttaṃ
2	Chư Thiên Tử	Devaputtasaṃyuttaṃ
3	Kiều-tất-la	Kosalasaṃyuttaṃ
4	Ác ma	Mārasaṃyuttaṃ
5	Tỷ-kheo-ni	Bhikkhunīsaṃyuttaṃ
6	Phạm thiên	Brahmasaṃyuttaṃ
7	Bà-la-môn	Brāhmaṇasaṃyuttaṃ
8	Tôn giả Bằng-kỳ-sa	Vaṅgīsasaṃyuttaṃ
9	Rừng núi	Vanasaṃyuttaṃ
10	Dạ-xoa	Yakkhasaṃyuttaṃ
11	Đế Thích	Sakkasaṃyuttaṃ
12	Nhân duyên	Nidānasaṃyuttaṃ
13	Chứng ngộ	Abhisamayasaṃyuttaṃ
14	Các giới	Dhātusaṃyuttaṃ
15	Vô thủy	Anamataggasaṃyuttaṃ
16	Tôn giả Ca-diếp	Kassapasaṃyuttaṃ
17	Lợi đắc và cung kính	Lābhasakkārasaṃyuttaṃ
18	Tôn giả La-hầu-la	Rāhulasaṃyuttaṃ
19	Điềm tướng	Lakkhaṇasaṃyuttaṃ
20	Ví dụ	Opammasaṃyuttaṃ
21	Các Tỷ-kheo	Bhikkhusaṃyuttaṃ
22	Năm uẩn	Khandhasaṃyuttaṃ
23	Tôn giả La-đà	Rādhasaṃyuttaṃ
24	Tà kiến	Diṭṭhisaṃyuttaṃ
25	Thể nhập	Okkantasaṃyuttaṃ
26	Sanh khởi	Uppādasaṃyuttaṃ
27	Phiền não	Kilesasaṃyuttaṃ
28	Tôn giả Xá-lợi-phất	Sāriputtasaṃyuttaṃ
29	Loài Na-già	Nāgasaṃyuttaṃ
30	Loài Kim xí điểu	Supaṇṇasaṃyuttaṃ
31	Chúng Càn-thát-bà	Gandhabbakāyasaṃyuttaṃ
32	Chúng mây	Valāhakasaṃyuttaṃ
33	Du sĩ Ba-xa-gôt-ta	Vacchagottasaṃyuttaṃ
34	Thiền giả	Jhānasaṃyuttaṃ
35	Sáu xứ	Saḷāyatanasaṃyuttaṃ
36	Các thọ	Vedanāsaṃyuttaṃ
37	Người nữ	Mātugāmasaṃyuttaṃ
38	Du sĩ Xam-bu-kha-đa-ca	Jambukhādakasaṃyuttaṃ
39	Du sĩ Sa-man-đa-ca	Sāmaṇḍakasaṃyuttaṃ
40	Tôn giả Mục-kiền-liên	Moggallānasaṃyuttaṃ
41	Gia chủ Xi-đa	Cittasaṃyuttaṃ
42	Thôn trưởng	Gāmaṇisaṃyuttaṃ
43	Vô vi	Asaṅkhatasaṃyuttaṃ
44	Vô ký	Abyākatasaṃyuttaṃ
45	Bát Thánh đạo	Maggasaṃyuttaṃ
46	Bảy giác chi	Bojjhaṅgasaṃyuttaṃ
47	Bốn niệm xứ	Satipaṭṭhānasaṃyuttaṃ
48	Các căn	Indriyasaṃyuttaṃ
49	Bốn chánh cần	Sammappadhānasaṃyuttaṃ
50	Năm lực	Balasaṃyuttaṃ
51	Bốn thần túc	Iddhipādasaṃyuttaṃ
52	Tôn giả A-na-luật	Anuruddhasaṃyuttaṃ
53	Các thiền (tĩnh)	Jhānasaṃyuttaṃ
54	Hơi thở vào ra	Ānāpānasaṃyuttaṃ
55	Dự lưu	Sotāpattisaṃyuttaṃ
56	Các Thánh đế	Saccasaṃyuttaṃ
