1	1	Bện Lau
1	2	Hoan Hỷ
1	3	Đao Kiếm
1	4	Satullapakāyikā
1	5	Cháy
1	6	Già
1	7	Thắng Phục
1	8	Cắt Đứt
2	1	Thứ Nhất
2	2	Anāthapiṇḍika
2	3	Ngoại Đạo
3	1	Thứ Nhất
3	2	Thứ Hai
3	3	Thứ Ba
4	1	Thứ Nhất
4	2	Thứ Hai
4	3	Thứ Ba
6	1	Thứ Nhất
6	2	Thứ Hai
7	1	Bậc A-la-hán
7	2	Cư Sĩ
11	1	Thứ Nhất
11	2	Thứ Hai
11	3	Thứ Ba
12	1	Đức Phật
12	2	Thức Ăn
12	3	Mười Lực
12	4	Kaḷāra
12	5	Gia Chủ
12	6	Khổ
12	7	Đại
12	8	Sa-môn Bà-la-môn
14	1	Sai Biệt
14	2	Thứ Hai
14	3	Nghiệp Đạo
14	4	Thứ Tư
15	1	Thứ Nhất
17	1	Tai Hại
17	2	Thứ Hai
17	3	Thứ Ba
17	4	Thứ Tư
18	2	Thứ Hai
19	1	Thứ Nhất
19	2	Thứ Hai
22	1	Nakulapitā
22	2	Vô Thường
22	3	Gánh Nặng
22	4	Không Phải Của Các Người
22	5	Ngọn Đèn Tự Thân
22	6	Chỗ Dựa
22	7	Bậc A-la-hán
22	8	Bị Ăn Nuốt
22	9	Các Vị Trưởng Lão
22	10	Hoa
22	11	Cùng Tận
22	12	Người Thuyết Pháp
22	13	Vô Minh
22	14	Đống Lửa Than
22	15	Tri Kiến
23	1	Thứ Nhất
23	2	Thứ Hai
23	3	Cầu Thỉnh
23	4	Ngồi Gần
35	1	Vô Thường
35	2	Song Đôi
35	3	Tất Cả
35	4	Chịu Sự Sanh
35	5	Tất Cả Vô Thường
35	6	Vô Minh
35	7	Migajāla
35	8	Bệnh
35	9	Channa
35	10	Sáu Xứ
35	11	Yên Ổn
35	12	Lòng Dục Đối Với Thế Gian
35	13	Gia Chủ
35	14	Devadaha
35	15	Nghiệp Mới Nghiệp Cũ
35	16	Đoạn Diệt Thích Thú
35	17	Sáu Mươi Kinh Trùng Tụng
35	18	Biển
35	19	Rắn Độc
36	1	Có Kệ
36	2	Ở Một Mình
36	3	Một Trăm Lẻ Tám Cảm Thọ
37	1	Trùng Tụng Thứ Nhất
37	2	Trùng Tụng Thứ Hai
37	3	Sức Mạnh
43	1	Trùng Tụng Thứ Nhất
43	2	Trùng Tụng Thứ Hai
45	1	Vô Minh
45	3	Tà Tánh
45	4	Thực Hành
45	5	Ngoại Đạo
45	6	Ánh Rạng Đông
45	7	Một Pháp
45	8	Một Pháp Trùng Tụng Thứ Hai
45	9	Ví Dụ Sông Gaṅgā
45	10	Ví Dụ Sông Gaṅgā Thứ Hai
45	11	Không Phóng Dật Viết Tắt
45	12	Cần Dùng Sức Mạnh
45	13	Tầm Cầu
45	14	Dòng Nước Xoáy
46	1	Núi
46	2	Người Bệnh
46	3	Udāyī
46	4	Triền Cái
46	5	Vua Chuyển Luân
46	6	Đàm Luận
46	7	Niệm Hơi Thở
46	8	Đoạn Diệt
46	9	Sông Gaṅgā Và Các Kinh Khác
46	10	Không Phóng Dật
46	11	Việc Cần Dùng Sức Lực
46	12	Tìm Cầu
46	13	Trói Buộc
47	1	Ambapāli
47	2	Nālandā
47	3	Giới Và Sự Tồn Tại
47	4	Chưa Từng Được Nghe
47	5	Bất Tử
47	6	Các Dòng Sông Gaṅgā
47	7	Không Phóng Dật
47	8	Việc Cần Dùng Sức Mạnh
47	9	Tìm Cầu
47	10	Dòng Nước Lũ
48	1	Thanh Tịnh
48	2	Nhu Nhuyến Hơn
48	3	Sáu Căn
48	4	Lạc Căn
48	5	Già
48	6	Hang Heo Rừng
48	7	Pháp Trợ Đạo
48	8	Trùng Tụng Về Sông Gaṅgā
48	9	Dòng Nước Lũ
48	10	Trùng Tụng Về Sông Gaṅgā
48	11	Dòng Nước Lũ
49	1	Sông Hằng
49	3	Cần Có Sức Mạnh
49	4	Tìm Cầu
49	5	Trói Buộc
50	1	Sông Hằng
50	2	Trói Buộc
50	3	Sông Hằng
50	4	Tìm Cầu
50	5	Trói Buộc
51	1	Cāpāla
51	2	Chấn Động Lầu
51	3	Cục Sắt
51	4	Sông Hằng
51	5	Trói Buộc
52	1	Độc Cư
52	2	Thứ Hai
53	2	Dòng Nước Cuốn Trôi
54	1	Một Pháp
54	2	Thứ Hai
55	1	Cửa Tre
55	2	Tinh Xá Của Vua
55	3	Quy Y
55	4	Dòng Suối Phước Đức
55	5	Dòng Suối Phước Đức Có Kệ
55	6	Có Trí Tuệ
55	7	Trí Tuệ Lớn
56	1	Định
56	2	Chuyển Pháp Luân
56	3	Làng Koṭigāma
56	4	Rừng Cây Sīsapā
56	5	Vực Thẳm
56	6	Thông Đạt
56	7	Văn Trùng Tụng Thứ Nhất
56	8	Văn Trùng Tụng Thứ Hai
56	9	Văn Trùng Tụng Thứ Ba
56	10	Văn Trùng Tụng Thứ Tư
56	11	Văn Trùng Tụng Về Năm Sanh Thú
