pj	1	Chương Verañja
pj	2	Chương Bất Cộng Trụ
pj	3	Chương Tăng Tàn
pj	4	Chương Bất Định
pj	5	Chương Ưng Xả Đối Trị
pc	1	Chương Ưng Đối Trị
pc	2	Chương Ưng Phát Lộ
pc	3	Chương Ưng Học
pc	5	Chương Bất Cộng Trụ (Tỷ-kheo-ni)
pc	6	Chương Tăng Tàn (Tỷ-kheo-ni)
pc	7	Chương Ưng Xả Đối Trị (Tỷ-kheo-ni)
pc	8	Chương Ưng Đối Trị (Tỷ-kheo-ni)
pc	9	Chương Ưng Phát Lộ (Tỷ-kheo-ni)
pc	10	Chương Ưng Học (Tỷ-kheo-ni)
mv	1	Đại Khandhaka
mv	2	Khandhaka Bố-tát
mv	3	Khandhaka An Cư
mv	4	Khandhaka Tự Tứ
mv	5	Khandhaka Da
mv	6	Khandhaka Dược Phẩm
mv	7	Khandhaka Kaṭhina
mv	8	Khandhaka Y
mv	9	Khandhaka Campā
mv	10	Khandhaka Kosambī
cv	1	Khandhaka Tăng Sự
cv	2	Khandhaka Biệt Trú
cv	3	Khandhaka Tổng Hợp
cv	4	Khandhaka Diệt Tránh
cv	5	Khandhaka Tiểu Sự
cv	6	Khandhaka Trú Xứ
cv	7	Khandhaka Phá Tăng
cv	8	Khandhaka Oai Nghi
cv	9	Khandhaka Đình Chỉ Pātimokkha
cv	10	Khandhaka Tỷ-kheo-ni
cv	11	Khandhaka Năm Trăm
cv	12	Khandhaka Bảy Trăm
